id_fundo_imobiliario,cnpj,fundo,ticker,visivel,data_informacao,total_cotistas,valor_patrimonio_liquido,dividend_yield_mes,rent_efetiva_mensal,ano_mes_x,data_ultimo_preco,preco_fechamento,volume_negociado,ano_mes_y
6,18085673000157,NCH EQI HY FII,EQIN11,True,2023-03-31,12213.0,151994750.79,0.012533,0.014917,2023-03-01,2023-04-27,93.4,0.0,2023-04-01
244,35507457000171,VBI REITS FOF - FUNDO DE INVESTIMENTO IMOBILIARIO,RVBI11,True,2023-03-01,12157.0,116824281.99,0.009887,0.003832,2023-03-01,2023-04-27,73.8,1844.0,2023-04-01
28,15006286000190,FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO NEGRO,RNGO11,True,2023-03-01,11649.0,231563271.73,0.004968,0.004764,2023-03-01,2023-04-27,50.01,1521.0,2023-04-01
139,13584584000131,BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,CARE11,True,2023-03-31,11620.0,298691504.18,0.0,0.048365,2023-03-01,2023-04-27,1.9,19898.0,2023-04-01
386,40189596000134,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGENCIAS,CXAG11,True,2023-03-01,11434.0,240052379.07,0.006495,0.000881,2023-03-01,2023-04-27,76.95,2037.0,2023-04-01
246,34081611000123,CAPITANIA FOF FII,CPFF11,True,2023-03-31,11001.0,194076031.91,0.005321,-0.001306,2023-03-01,2023-04-27,60.39,3640.0,2023-04-01
1001,45188176000157,BTGP HEDGE FUND FII,0EI911,True,2023-03-31,10839.0,361934565.73,0.011506,0.011325,2023-03-01,,,,
241,35705463000133,RBR LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO,RBRL11,True,2023-03-01,10720.0,709028795.2,0.0,0.005555,2023-03-01,2023-04-27,73.21,10052.0,2023-04-01
199,32784898000122,CSHG IMOBILIARIO FOF - FUNDO DE INVESTIMENTO IMO - FII,HGFF11,True,2023-03-01,10249.0,238937080.44,0.007726,-0.000458,2023-03-01,2023-04-27,73.28,21378.0,2023-04-01
208,26681370000125,TELLUS PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,SDIP11,True,2023-03-01,10160.0,403309943.63,0.005335,0.004672,2023-03-01,2023-04-27,88.0,0.0,2023-04-01
